	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Depressive Disorder	0.0398773006134969	0.219512195121951	0.038781163434903	0.0323275862068966	0.172523961661342	0.181818181818182	0.0101010101010101	0.0305206463195691	0.045016077170418	0.013262599469496	1	0.0506863780359029	0.0107142857142857	0.0453074433656958	0.0118694362017804	0.0509259259259259	0.0145772594752187	0.028391167192429	0.0136054421768707	0.0893246187363834	0.00740740740740741	0.0116618075801749	0.0807174887892377	0.0112612612612613	0.141439205955335	0.137931034482759	0.00573065902578797	0
Diabetes Mellitus	0.0221238938053097	0.0338785046728972	0.044613710554951	0.0503455083909181	0.0484581497797357	0.0274914089347079	0.0068259385665529	0.0376007162041182	0.0364464692482916	0.0510869565217391	0.0506863780359029	1	0.00930232558139535	0.0484988452655889	0.0463276836158192	0.115011202389843	0.0378197997775306	0.0832342449464923	0.0172811059907834	0.119711042311662	0.0166073546856465	0.0483689538807649	0.0134969325153374	0.0594262295081967	0.0619918699186992	0.0651068158697864	0.0388457269700333	0.00359712230215827
Epilepsy	0	0.0116959064327485	0.00813008130081301	0	0.00840336134453781	0.00543478260869565	0	0.00675675675675676	0.0050761421319797	0.0159362549800797	0.0107142857142857	0.00930232558139535	1	0.0103092783505155	0.00469483568075117	0.0116580310880829	0.027906976744186	0.00505050505050505	0.0178571428571429	0.0163487738419619	0	0.0138248847926267	0.0178571428571429	0.0125786163522013	0.0121580547112462	0.00903614457831325	0.0181818181818182	0.00806451612903226
Heart failure	0.0285714285714286	0.0289855072463768	0.175510204081633	0.0234986945169713	0.033210332103321	0.0227272727272727	0.0492610837438424	0.0145833333333333	0.0625	0.0314685314685315	0.0453074433656958	0.0484988452655889	0.0103092783505155	1	0.0854700854700855	0.0552699228791774	0.0155642023346304	0.101382488479263	0.00956937799043062	0.0535714285714286	0.0164835164835165	0.0236220472440945	0.0198675496688742	0.0225988700564972	0.0303867403314917	0.0416666666666667	0.0114942528735632	0.0443037974683544
Hypercholesterolemia	0.026615969581749	0.0176211453744493	0.104693140794224	0.0148514851485149	0.0136054421768707	0.0125	0.0176211453744493	0.0202020202020202	0.0118577075098814	0.0195439739413681	0.0118694362017804	0.0463276836158192	0.00469483568075117	0.0854700854700855	1	0.0281862745098039	0.0072202166064982	0.178899082568807	0.0043859649122807	0.0213270142180095	0.00495049504950495	0.0145985401459854	0.0117647058823529	0.0106382978723404	0.0235602094240838	0.0155038759689922	0	0.0110497237569061
Hypertension	0.0194884287454324	0.0323415265200517	0.0569007263922518	0.0393617021276596	0.0446859903381642	0.0292249047013977	0.00884955752212389	0.0337512054001929	0.0326223337515684	0.0377358490566038	0.0509259259259259	0.115011202389843	0.0116580310880829	0.0552699228791774	0.0281862745098039	1	0.0180505415162455	0.0377833753148615	0.0101522842639594	0.0789189189189189	0.0065359477124183	0.0267314702308627	0.0151098901098901	0.0293478260869565	0.0504385964912281	0.0584343991179713	0.0167664670658683	0.00536193029490617
Lupus erythematosus	0	0.00847457627118644	0.00320512820512821	0.053030303030303	0.0166666666666667	0.00806451612903226	0.00421940928270042	0.0158730158730159	0.0115384615384615	0.118881118881119	0.0145772594752187	0.0378197997775306	0.027906976744186	0.0155642023346304	0.0072202166064982	0.0180505415162455	1	0.0114942528735632	0.0776255707762557	0.0186046511627907	0.00478468899521531	0.0877862595419847	0	0.128279883381924	0.0179028132992327	0.0204081632653061	0.0743494423791822	0.027027027027027
Metabolic syndrome	0.0365853658536585	0.023696682464455	0.0981132075471698	0.0233160621761658	0.0253623188405797	0.0224215246636771	0.00934579439252336	0.012396694214876	0.0211864406779661	0.0311418685121107	0.028391167192429	0.0832342449464923	0.00505050505050505	0.101382488479263	0.178899082568807	0.0377833753148615	0.0114942528735632	1	0.00469483568075117	0.0666666666666667	0.0053475935828877	0.0233463035019455	0.0194805194805195	0.0110803324099723	0.0301369863013699	0.0356164383561644	0.0113636363636364	0.00598802395209581
Multiple Sclerosis	0.00442477876106195	0.010752688172043	0.00766283524904215	0.0426136363636364	0.0119047619047619	0.0050251256281407	0	0.0109409190371991	0	0.0887096774193548	0.0136054421768707	0.0172811059907834	0.0178571428571429	0.00956937799043062	0.0043859649122807	0.0101522842639594	0.0776255707762557	0.00469483568075117	1	0.00779220779220779	0.0126582278481013	0.0930232558139535	0.0078125	0.0941558441558442	0.00869565217391304	0.00864553314121038	0.081447963800905	0.0144927536231884
Obesity	0.0238663484486874	0.0803324099722992	0.0356347438752784	0.0345454545454545	0.109223300970874	0.0441558441558442	0.00775193798449612	0.0407523510971787	0.0196560196560197	0.019438444924406	0.0893246187363834	0.119711042311662	0.0163487738419619	0.0535714285714286	0.0213270142180095	0.0789189189189189	0.0186046511627907	0.0666666666666667	0.00779220779220779	1	0.0111731843575419	0.0162790697674419	0.0279503105590062	0.0208333333333333	0.0934393638170974	0.0974155069582505	0.00684931506849315	0.00293255131964809
Parkinson	0.0151515151515152	0.0125	0.00851063829787234	0.0148809523809524	0.0043859649122807	0.00578034682080925	0	0.0069284064665127	0.00537634408602151	0.0209205020920502	0.00740740740740741	0.0166073546856465	0	0.0164835164835165	0.00495049504950495	0.0065359477124183	0.00478468899521531	0.0053475935828877	0.0126582278481013	0.0111731843575419	1	0.00966183574879227	0.00980392156862745	0.0163398692810458	0.0157728706624606	0.0156739811912226	0.0191387559808612	0.00884955752212389
Psoriasis	0.0147058823529412	0.0128205128205128	0.0162866449511401	0.077720207253886	0.0033003300330033	0.0121951219512195	0.00851063829787234	0.00788954635108481	0.0115830115830116	0.286290322580645	0.0116618075801749	0.0483689538807649	0.0138248847926267	0.0236220472440945	0.0145985401459854	0.0267314702308627	0.0877862595419847	0.0233463035019455	0.0930232558139535	0.0162790697674419	0.00966183574879227	1	0.0113636363636364	0.233226837060703	0.00761421319796954	0.0126903553299492	0.236051502145923	0.0216216216216216
Post-traumatic stress disorder	0.0119047619047619	0.378947368421053	0.00980392156862745	0.0163934426229508	0.0702702702702703	0.0671641791044776	0	0.00247524752475248	0.033112582781457	0.0142857142857143	0.0807174887892377	0.0134969325153374	0.0178571428571429	0.0198675496688742	0.0117647058823529	0.0151098901098901	0	0.0194805194805195	0.0078125	0.0279503105590062	0.00980392156862745	0.0113636363636364	1	0.0108303249097473	0.0543478260869565	0.0539568345323741	0.00552486187845304	0.0121951219512195
Rheumatoid arthritis	0.008	0.0210843373493976	0.0197044334975369	0.0859538784067086	0.0252525252525253	0.0115273775216138	0.00892857142857143	0.0182724252491694	0.0139275766016713	0.216763005780347	0.0112612612612613	0.0594262295081967	0.0125786163522013	0.0225988700564972	0.0106382978723404	0.0293478260869565	0.128279883381924	0.0110803324099723	0.0941558441558442	0.0208333333333333	0.0163398692810458	0.233226837060703	0.0108303249097473	1	0.0225409836065574	0.0308641975308642	0.211180124223602	0.0210526315789474
Schizophrenia	0.0345744680851064	0.132686084142395	0.0265700483091787	0.0212355212355212	0.174647887323944	0.149206349206349	0.00574712643678161	0.033112582781457	0.0330578512396694	0.0188679245283019	0.141439205955335	0.0619918699186992	0.0121580547112462	0.0303867403314917	0.0235602094240838	0.0504385964912281	0.0179028132992327	0.0301369863013699	0.00869565217391304	0.0934393638170974	0.0157728706624606	0.00761421319796954	0.0543478260869565	0.0225409836065574	1	0.080168776371308	0.0151898734177215	0.00666666666666667
Sleep Disorder	0.0182291666666667	0.103448275862069	0.0289156626506024	0.0330739299610895	0.0997375328083989	0.0737463126843658	0.0144092219020173	0.033003300330033	0.0244565217391304	0.035799522673031	0.137931034482759	0.0651068158697864	0.00903614457831325	0.0416666666666667	0.0155038759689922	0.0584343991179713	0.0204081632653061	0.0356164383561644	0.00864553314121038	0.0974155069582505	0.0156739811912226	0.0126903553299492	0.0539568345323741	0.0308641975308642	0.080168776371308	1	0.0176767676767677	0.00996677740863787
Ulcerative colitis	0.0108303249097473	0.0126050420168067	0.0128205128205128	0.0687022900763359	0.0065359477124183	0.0160642570281124	0.00416666666666667	0.0137795275590551	0.0152671755725191	0.30241935483871	0.00573065902578797	0.0388457269700333	0.0181818181818182	0.0114942528735632	0	0.0167664670658683	0.0743494423791822	0.0113636363636364	0.081447963800905	0.00684931506849315	0.0191387559808612	0.236051502145923	0.00552486187845304	0.211180124223602	0.0151898734177215	0.0176767676767677	1	0.0265957446808511
Vasculitis	0.0111731843575419	0.00709219858156028	0.0187793427230047	0.0126182965299685	0	0.0065359477124183	0.0923076923076923	0	0.0182926829268293	0.0275229357798165	0	0.00359712230215827	0.00806451612903226	0.0443037974683544	0.0110497237569061	0.00536193029490617	0.027027027027027	0.00598802395209581	0.0144927536231884	0.00293255131964809	0.00884955752212389	0.0216216216216216	0.0121951219512195	0.0210526315789474	0.00666666666666667	0.00996677740863787	0.0265957446808511	1
