	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Metabolic syndrome	0.0953423354337697	0.197976293128343	0.280856446166313	0.0183323623120455	0.0582663742868883	0.0994190735497771	0.162952780659395	0.0279742631070816	0.0892798217492214	0.0310959201872742	0.0602950010156545	1.00538759893856	0.110858554186333	0.513137264263689	1.02395665584825	0.161748294215459	0.0418917752849186	NA	0.0743838105338851	0.280902757073661	0.141396720770711	0.0346533828171268	0.345051108944295	0.0084196569902201	0.0810716046822696	0.0637625258805388	0.0145568810425621	0.212788502663437
Multiple Sclerosis	0.0788365049866471	0.219928323906096	0.0575743003564054	0.22349738282576	0.0924243332385679	0.101338708766202	0.192984575345664	0.0686715335352954	0.0887210402290292	0.391276803575115	0.0863979294401906	0.0374983465670563	0.253047742590429	0.133182580449614	0.0658124661309996	0.0375053626297166	0.528701347399997	0.0743838105338851	NA	0.0527814585943623	0.276725777591224	0.455823888541602	0.36182832061763	0.697282804346737	0.0698762302992647	0.0497584505807135	0.32994933298698	0.404385182285725
Obesity	0.0426295666331098	1.14008554138525	0.0373387451085476	0.00856228088919195	0.818804018101242	0.246103022173488	0.115903545761997	0.0233294031453895	0.060422905299436	0.0166905522813537	0.454373297827056	0.834474156734331	0.178050391452819	0.290874541723277	0.0269377055196054	0.196843844334984	0.0340249722025151	0.280902757073661	0.0527814585943623	NA	0.168607061848973	0.0189197144753208	0.904939383759202	0.00556825764573659	0.543957216922854	0.490753061424432	0.0114115709649167	0.155928664821222
Parkinson	0.207268179275818	0.402581903655285	0.122999004614519	0.153374058147822	0.153954593034945	0.20763265396614	0.307784697191129	0.122806016442532	0.181462948980679	0.152247259650255	0.151063018004883	0.18203273480487	0.294933290436188	0.264386341420712	0.130406055067211	0.0509029340846783	0.156673290992985	0.141396720770711	0.276725777591224	0.168607061848973	NA	0.133667622445651	0.653581390903383	0.166024750939887	0.235059294096231	0.196244220464033	0.152160337087959	0.507471376146472
Psoriasis	0.0261178359354506	0.122171486052825	0.00818506097877068	0.144513550721114	0.0149186992316277	0.045669015384346	0.133693799342476	0.0197273749660146	0.0446602838563452	1.37980328611428	0.0171570626933462	0.089156244298633	0.10879910327277	0.0751998082160094	0.0163858541067684	0.0508231543810795	0.258985695442051	0.0346533828171268	0.455823888541602	0.0189197144753208	0.133667622445651	NA	0.235272669375496	1.59134789588177	0.018865324456683	0.0100377551953319	0.974172756109684	0.256060585424411
Post-traumatic stress disorder	0.328110184697038	10.1438930838669	0.237759032401803	0.351811102981452	1.34580494441958	1.16029077885706	0.492305573208337	0.2023989198027	0.594391673570897	0.222499554051523	2.34852316324057	0.521334300859244	0.696089333570114	0.498245485125531	0.267359936702746	0.89796800458874	0.22187242160471	0.345051108944295	0.36182832061763	0.904939383759202	0.653581390903383	0.235272669375496	NA	0.257276703804866	2.00952060581742	1.49162930228235	0.176800553961579	0.894185980639115
Rheumatoid arthritis	0.00737085914968809	0.145570302690989	0.00406317321044989	0.0935674996882296	0.0255173689909502	0.031291787849402	0.116551633505552	0.00848043893164006	0.0307054422763245	1.06029559825844	0.00461046537026446	0.0228321222895693	0.0925130372249139	0.059628221178441	0.00553130955226194	0.01236395200714	0.704623471836413	0.0084196569902201	0.697282804346737	0.00556825764573659	0.166024750939887	1.59134789588177	0.257276703804866	NA	0.013810993165087	0.00915665669738301	1.12015456665361	0.297857964537956
Schizophrenia	0.0935507215950243	2.4152702899325	0.0369818022462492	0.00609323120329618	1.94335936219245	2.24751502198361	0.12455245597154	0.0212672267928305	0.14734085258425	0.0229370021148195	1.44943514144051	0.0406272978569031	0.169912779312604	0.137985587135783	0.0487094332616589	0.0437125464962008	0.0413531645447593	0.0810716046822696	0.0698762302992647	0.543957216922854	0.235059294096231	0.018865324456683	2.00952060581742	0.013810993165087	NA	0.271821498443044	0.0250349874077428	0.21783080693969
Sleep Disorder	0.0242936542979507	1.24464911505064	0.0201710278950399	0.00490566012668978	0.536697889905782	0.521725585048033	0.162573532059269	0.0197873731539773	0.0679104682933013	0.0258342079574653	1.19140704459511	0.0344928184698032	0.0999552026658062	0.1704618687583	0.0140430296638282	0.0823943573589999	0.0361942056582191	0.0637625258805388	0.0497584505807135	0.490753061424432	0.196244220464033	0.0100377551953319	1.49162930228235	0.00915665669738301	0.271821498443044	NA	0.0135223452407926	0.233371243731533
Ulcerative colitis	0.0166758403084369	0.108713797011343	0.00451585917123437	0.0980416354350662	0.0146999679329802	0.0509127165168395	0.109019341856689	0.0260420350494807	0.0435827921851148	1.44193097582348	0.0108083387367717	0.0394832742602805	0.110434664068151	0.0461804080921117	0.00560242624564452	0.0232106976024793	0.171317004390574	0.0145568810425621	0.32994933298698	0.0114115709649167	0.152160337087959	0.974172756109684	0.176800553961579	1.12015456665361	0.0250349874077428	0.0135223452407926	NA	0.249117133272452
Vasculitis	0.249906354807984	0.432719434633756	0.250883255778024	0.237187445473797	0.166682046948164	0.250631890843485	2.17286004011388	0.109371098023368	0.367044090298896	0.276098750196799	0.1500544187542	0.0578128448311901	0.414207462929404	0.715613726456363	0.233153908128449	0.108857548379779	0.396180020386736	0.212788502663437	0.404385182285725	0.155928664821222	0.507471376146472	0.256060585424411	0.894185980639115	0.297857964537956	0.21783080693969	0.233371243731533	0.249117133272452	NA
