score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST004133,GCST90446794,GCST90446795,FINNGEN_R12_K11_UC_STRICT2,GCST003097_2,GCST005537,GCST000964,GCST010001,GCST90473823,GCST90454275,GCST90044155,GCST90475322,GCST90436337,GCST000527,GCST90479622,GCST90018933,GCST90476067,GCST90129459,FINNGEN_R12_ULCERNAS,GCST90038684,GCST000624,GCST90468152,GCST90480319,GCST000623,GCST000243,FINNGEN_R12_ULCEROTH,GCST000529,GCST001728,GCST001118,GCST001938,GCST000311,GCST008658,GCST90480318,GCST90479621,GCST90018713,GCST90454587,GCST003960,GCST90179177,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.32323223732202,ENSG00000073605,GSDMB,protein_coding,0.510179780638451,NA,NA,GCST90446794,0.663903057575226,NA,0.6639031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,GSDMB,55876,GWAS,1,54,2
0.322688223074468,ENSG00000197818,SLC9A8,protein_coding,0.511871539956759,NA,NA,GCST005537,0.841989815235138,NA,NA,NA,NA,NA,0.8419898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SLC9A8,23315,GWAS,1,24,1
0.32119081614656,ENSG00000164307,ERAP1,protein_coding,0.521854130113291,NA,NA,GCST005537,0.8584104180336,NA,NA,NA,NA,NA,0.8584104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ERAP1,51752,GWAS,1,101,10
0.321020298518717,ENSG00000151150,ANK3,protein_coding,0.524043768861346,NA,NA,GCST90454587,0.862012207508087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8620122,NA,NA,1,ANK3,288,GWAS,1,366,4
0.320237559069832,ENSG00000124203,ZNF831,protein_coding,0.526766468038715,NA,NA,GCST005537,0.866490840911865,NA,NA,NA,NA,NA,0.8664908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ZNF831,128611,GWAS,1,26,1
0.320000491573367,ENSG00000117114,ADGRL2,protein_coding,0.508286182248991,NA,NA,GCST003097_2,0.836092174053192,NA,NA,NA,NA,0.8360922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ADGRL2,23266,GWAS,1,263,1
0.319994494659349,ENSG00000082497,SERTAD4,protein_coding,0.526366645540104,NA,NA,GCST90480318,0.865833163261414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8658332,NA,NA,NA,NA,NA,1,SERTAD4,56256,GWAS,1,25,0
0.319402165591605,ENSG00000127074,RGS13,protein_coding,0.525392309201049,NA,NA,GCST90480319,0.864230453968048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8642305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,RGS13,6003,GWAS,1,114,1
0.318850369287618,ENSG00000172197,MBOAT1,protein_coding,0.524484646180595,NA,NA,GCST90480318,0.862737417221069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8627374,NA,NA,NA,NA,NA,1,MBOAT1,154141,GWAS,1,95,1
0.318307414060553,ENSG00000153814,JAZF1,protein_coding,0.521919716366915,NA,NA,GCST005537,0.858518302440643,NA,NA,NA,NA,NA,0.8585183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,JAZF1,221895,GWAS,1,115,1
