score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST009600,GCST012091,GCST010641,GCST010416,GCST012088,GCST011102,GCST008103,GCST90020094,GCST003962,GCST001358,GCST012464,GCST012465,GCST90454587,GCST90454586,GCST002295_2,GCST007255,GCST008115,GCST001877,GCST000220,GCST006865,GCST002385,GCST009371,GCST90454588,GCST90446210,GCST002254,GCST90101737,GCST90479686,GCST90479737,GCST011767,GCST90446212,GCST90446211,GCST004139,GCST90479577,GCST90446209,GCST90446213,GCST002306,GCST90479698,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.318036563911826,ENSG00000122779,TRIM24,protein_coding,0.523145998132184,NA,NA,GCST90479577,0.860535442829132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8605354,NA,NA,NA,NA,1,TRIM24,8805,GWAS,1,218,0
0.318036563911826,ENSG00000100852,ARHGAP5,protein_coding,0.523145998132184,NA,NA,GCST90479577,0.860535442829132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8605354,NA,NA,NA,NA,1,ARHGAP5,394,GWAS,1,34,0
0.318036563911826,ENSG00000153822,KCNJ16,protein_coding,0.523145998132184,NA,NA,GCST90479577,0.860535442829132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8605354,NA,NA,NA,NA,1,KCNJ16,3773,GWAS,1,58,0
0.317170352315938,ENSG00000164532,TBX20,protein_coding,0.521721145831082,NA,NA,GCST90479577,0.858191668987274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8581917,NA,NA,NA,NA,1,TBX20,57057,GWAS,1,67,1
0.316707838235595,ENSG00000151208,DLG5,protein_coding,0.520960345289046,NA,NA,GCST90479577,0.85694020986557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8569402,NA,NA,NA,NA,1,DLG5,9231,GWAS,1,50,0
0.316671975551141,ENSG00000155890,TRIM42,protein_coding,0.520901353896284,NA,NA,GCST002306,0.856843173503876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8568432,NA,1,TRIM42,287015,GWAS,1,24,0
0.316240565309717,ENSG00000196236,XPNPEP3,protein_coding,0.515860209874476,NA,NA,GCST90020094,0.762979626655579,NA,NA,NA,NA,NA,NA,NA,0.7629796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,XPNPEP3,63929,GWAS,1,51,1
0.315890860730466,ENSG00000189184,PCDH18,protein_coding,0.519616479328745,NA,NA,GCST90479698,0.854729652404785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8547297,1,PCDH18,54510,GWAS,1,14,0
0.315695466374749,ENSG00000143153,ATP1B1,protein_coding,0.519295070450489,NA,NA,GCST90479577,0.854200959205627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854201,NA,NA,NA,NA,1,ATP1B1,481,GWAS,1,95,1
0.315695466374749,ENSG00000002587,HS3ST1,protein_coding,0.519295070450489,NA,NA,GCST90479698,0.854200959205627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854201,1,HS3ST1,9957,GWAS,1,45,0
0.315579132937032,ENSG00000151835,SACS,protein_coding,0.519103710779004,NA,NA,GCST90479698,0.853886187076569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8538862,1,SACS,26278,GWAS,1,30,0
0.315050356599418,ENSG00000164197,RNF180,protein_coding,0.518233913855255,NA,NA,GCST90479577,0.85245543718338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8524554,NA,NA,NA,NA,1,RNF180,285671,GWAS,1,4,0
