score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST004132,GCST90446792,GCST90468121,GCST90129433,FINNGEN_R12_CHRONSMALL,GCST000705,GCST001729,GCST005537,GCST90479616,FINNGEN_R12_CHRONNAS,GCST000207,FINNGEN_R12_K11_CD_STRICT2,FINNGEN_R12_CHRONOTH,GCST000042,GCST000023,GCST001652,GCST90475318,GCST000879,GCST000066,GCST000071,GCST90044153,GCST001438,GCST90103740,GCST90446793,FINNGEN_R12_RX_CROHN_2NDLINE,GCST003097_2,GCST90319897,GCST90103738,GCST002094,GCST000014,FINNGEN_R12_RX_CROHN_1STLINE,GCST001396,FINNGEN_R12_CHRONLARGE,GCST001785,GCST90103739,GCST008485,GCST003360,GCST010577,GCST007216,GCST001118,GCST000039,GCST90428830,GCST90454588,GCST000955,GCST90301326,FINNGEN_R12_ULCERILEO,GCST010124,GCST90301328,GCST003959,GCST90479615,GCST001473,GCST90179177,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.450750020038618,ENSG00000075426,FOSL2,protein_coding,0.74053765991997,NA,NA,GCST004132/GCST90446792/GCST005537,0.859228134155273/0.853976726531982/0.845733225345612,0.8592281,0.8539767,NA,NA,NA,NA,NA,0.8457332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FOSL2,2355,GWAS,1,127,10
0.450159479170673,ENSG00000108219,TSPAN14,protein_coding,0.740478161230218,NA,NA,GCST004132/GCST90446792/GCST005537,0.905691683292389/0.905173122882843/0.774408459663391,0.9056917,0.9051731,NA,NA,NA,NA,NA,0.7744085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TSPAN14,81619,GWAS,1,32,1
0.445800877657984,ENSG00000142224,IL19,protein_coding,0.726062369345526,NA,NA,GCST004132/FINNGEN_R12_CHRONOTH,0.845259130001068/0.834701120853424,0.8452591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8347011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,IL19,29949,GWAS,1,103,14
0.445467959365584,ENSG00000172575,RASGRP1,protein_coding,0.730667187038242,NA,NA,GCST90446792/GCST001729/GCST005537/GCST90301328/GCST90301326/GCST90454588,0.814218401908875/0.806418657302856/0.806418657302856/0.80111438035965/0.80111438035965/0.516696393489838,NA,0.8142184,NA,NA,NA,NA,0.8064187,0.8064187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5166964,NA,0.8011144,NA,NA,0.8011144,NA,NA,NA,NA,4,RASGRP1,10125,GWAS,1,119,1
0.445368522567032,ENSG00000205592,MUC19,protein_coding,0.724702360245279,NA,NA,GCST000879/GCST004132/GCST90446792,0.859371244907379/0.829367697238922/0.763581156730652,0.8293677,0.7635812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8593712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,MUC19,283463,GWAS,1,73,0
0.443572846579345,ENSG00000107968,MAP3K8,protein_coding,0.715219832303356,NA,NA,GCST90446792/GCST005537/GCST004132,0.856391847133636/0.781454503536224/0.760056018829346,0.760056,0.8563918,NA,NA,NA,NA,NA,0.7814545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,MAP3K8,1326,GWAS,1,71,8
0.443238951731544,ENSG00000213066,CEP43,protein_coding,0.729094419089965,NA,NA,GCST90446793/GCST000207/GCST004132/GCST90428830/FINNGEN_R12_RX_CROHN_2NDLINE,0.838561773300171/0.813752949237823/0.780654549598694/0.55769681930542/0.529466509819031,0.7806545,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8137529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8385618,0.5294665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5576968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FGFR1OP,11116,GWAS,1,1,NA
0.442473871645554,ENSG00000108691,CCL2,protein_coding,0.713446351369259,NA,NA,GCST90428830/GCST005537/GCST004132/GCST000879,0.77597177028656/0.72807252407074/0.722659587860107/0.708819031715393,0.7226596,NA,NA,NA,NA,NA,NA,0.7280725,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.708819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7759718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,CCL2,6347,GWAS,1,500,38
0.44215064807313,ENSG00000100365,NCF4,protein_coding,0.721751197246713,NA,NA,GCST90446793/GCST90446792/GCST90446792,0.898018181324005/0.863791823387146/0.659337997436523,NA,0.659338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8980182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NCF4,4689,GWAS,1,165,13
0.440961319631706,ENSG00000125347,IRF1,protein_coding,0.712615786048716,NA,NA,GCST90428830/GCST010124,0.902193784713745/0.893854379653931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9021938,NA,NA,NA,NA,0.8938544,NA,NA,NA,NA,NA,2,IRF1,3659,GWAS,1,377,27
0.439346366075021,ENSG00000124203,ZNF831,protein_coding,0.722083329819661,NA,NA,GCST90446792/GCST005537/FINNGEN_R12_RX_CROHN_2NDLINE,0.878085792064667/0.866490840911865/0.837573707103729,NA,0.8780858,NA,NA,NA,NA,NA,0.8664908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8375737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,ZNF831,128611,GWAS,1,26,2
0.437184999222393,ENSG00000153064,BANK1,protein_coding,0.717530401126756,NA,NA,GCST005537/GCST001729,0.871125459671021/0.826973557472229,NA,NA,NA,NA,NA,NA,0.8269736,0.8711255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,BANK1,55024,GWAS,1,51,7
0.434617631578746,ENSG00000115607,IL18RAP,protein_coding,0.709320054648232,NA,NA,GCST90446792/GCST90446792/GCST004132/GCST000879,0.826074004173279/0.818358063697815/0.763091504573822/0.748626172542572,0.7630915,0.8183581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7486262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,IL18RAP,8807,GWAS,1,85,15
0.434165326481145,ENSG00000054983,GALC,protein_coding,0.714168994541568,NA,NA,GCST90446792/GCST004132/GCST90446792,0.872990906238556/0.627014696598053/0.564955234527588,0.6270147,0.5649552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,GALC,2581,GWAS,1,85,0
0.432310176136353,ENSG00000130876,SLC7A10,protein_coding,0.711117413091705,NA,NA,FINNGEN_R12_RX_CROHN_1STLINE/GCST90446792/GCST90446792/GCST004132/GCST000879,0.831720054149628/0.684126555919647/0.670702338218689/0.668440878391266/0.516400158405304,0.6684409,0.6707023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5164002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8317201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,SLC7A10,56301,GWAS,1,26,0
0.430481676007455,ENSG00000146374,RSPO3,protein_coding,0.705525963333505,NA,NA,GCST004132/GCST001729,0.861226618289948/0.838643908500671,0.8612266,NA,NA,NA,NA,NA,0.8386439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,RSPO3,84870,GWAS,1,69,1
0.430116787372211,ENSG00000121281,ADCY7,protein_coding,0.706808730706109,NA,NA,FINNGEN_R12_CHRONLARGE/FINNGEN_R12_CHRONNAS,0.927616119384766/0.902903079986572,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9029031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9276161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ADCY7,113,GWAS,1,129,2
0.428339044251387,ENSG00000171522,PTGER4,protein_coding,0.696365286637675,NA,NA,GCST003097_2/GCST90446793/FINNGEN_R12_CHRONLARGE/GCST90319897/FINNGEN_R12_RX_CROHN_2NDLINE/FINNGEN_R12_RX_CROHN_1STLINE/GCST90446793/FINNGEN_R12_K11_CD_STRICT2/FINNGEN_R12_CHRONSMALL/FINNGEN_R12_CHRONOTH/GCST000042/GCST000207/GCST004132/GCST000879/GCST005537/GCST000014/GCST000039/GCST001438/FINNGEN_R12_CHRONSMALL/GCST90475318/FINNGEN_R12_CHRONNAS/FINNGEN_R12_K11_CD_STRICT2/FINNGEN_R12_CHRONOTH,0.733230292797089/0.709177017211914/0.707310736179352/0.696211993694305/0.691871821880341/0.665225684642792/0.588845074176788/0.587395429611206/0.586696982383728/0.586664736270905/0.575630962848663/0.575598478317261/0.516154170036316/0.509116888046265/0.509116888046265/0.506606936454773/0.506606936454773/0.506606936454773/0.504237532615662/0.504237532615662/0.504237532615662/0.504237532615662/0.504237532615662,0.5161542,NA,NA,NA,0.5042375,NA,NA,0.5091169,NA,0.5042375,0.5755985,0.5042375,0.5042375,0.575631,NA,NA,0.5042375,0.5091169,NA,NA,NA,0.5066069,NA,0.5888451,0.6918718,0.7332303,0.696212,NA,NA,0.5066069,0.6652257,NA,0.7073107,NA,NA,NA,NA,NA,NA,NA,0.5066069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,PTGER4,5734,GWAS,1,129,10
0.428096655478156,ENSG00000108094,CUL2,protein_coding,0.703122612658844,NA,NA,GCST90446792/GCST000207/GCST000879,0.848917841911316/0.686923921108246/0.523459911346436,NA,0.8489178,NA,NA,NA,NA,NA,NA,NA,NA,0.6869239,NA,NA,NA,NA,NA,NA,0.5234599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,CUL2,8453,GWAS,1,267,5
