name,NCBI.id,list.name,list.count,N.PPI,degree
TTC39C,125488,PL,1,NA,NA
TTLL11,158135,PL,1,NA,NA
TUBB,203068,PL,1,NA,NA
UGGT1,56886,PL,1,NA,NA
UNC93A,54346,PL,1,NA,NA
UROS,7390,PL,1,NA,NA
USP45,85015,PL,1,NA,NA
USP47,55031,PL,1,NA,NA
UTRN,7402,PL,1,NA,NA
VIT,5212,PL,1,NA,NA
XYLT1,64131,PL,1,NA,NA
YWHAB,7529,PL,1,NA,NA
ZC3H3,23144,PL,1,NA,NA
ZC3H7A,29066,PL,1,NA,NA
ZIC4,84107,PL,1,NA,NA
ZMAT4,79698,PL,1,NA,NA
ZNF282,8427,PL,1,NA,NA
ZNF283,284349,PL,1,NA,NA
ZNF385B,151126,PL,1,NA,NA
ZNF423,23090,PL,1,NA,NA
ZPLD1,131368,PL,1,NA,NA
ZSCAN5C,649137,PL,1,NA,NA
ZZEF1,23140,PL,1,NA,NA
