source	target	interaction	weight
MTAP	UMPS	interacts_with	0.457
MYOM2	PLG	interacts_with	0.988
NT5C2	PHACTR1	interacts_with	0.416
NT5C2	SH2B3	interacts_with	0.418
NT5C2	SLC28A3	interacts_with	0.505
NT5C2	UMPS	interacts_with	0.917
NT5C2	ZC3HC1	interacts_with	0.433
PCSK6	PCSK9	interacts_with	0.6
PCSK6	TBX5	interacts_with	0.462
PCSK9	PSRC1	interacts_with	0.812
PCSK9	SCARB1	interacts_with	0.796
PCSK9	SORT1	interacts_with	0.866
PCSK9	TRIB1	interacts_with	0.428
PHACTR1	PSRC1	interacts_with	0.575
PHACTR1	SORT1	interacts_with	0.507
PHACTR1	WDR12	interacts_with	0.571
PHACTR1	ZC3HC1	interacts_with	0.507
PLG	SERPINA1	interacts_with	0.819
PLG	SMAD3	interacts_with	0.497
PLG	TGFB1	interacts_with	0.623
PML	SMAD3	interacts_with	0.611
PRDM16	PRKCE	interacts_with	0.433
PRDM16	SMAD3	interacts_with	0.674
PSRC1	SORT1	interacts_with	0.954
PSRC1	TRIB1	interacts_with	0.454
PSRC1	WDR12	interacts_with	0.493
PSRC1	ZC3HC1	interacts_with	0.459
PSRC1	ZPR1	interacts_with	0.437
SCARB1	TGFB1	interacts_with	0.529
SERPINA1	TGFB1	interacts_with	0.639
SERPINA1	TSPAN14	interacts_with	0.494
SERPINH1	TGFB1	interacts_with	0.453
SH2B3	ZC3HC1	interacts_with	0.477
SH2B3	ZNF652	interacts_with	0.402
SLC16A9	SLC22A1	interacts_with	0.462
SLC22A1	SLC28A3	interacts_with	0.406
SLC22A1	SLC2A12	interacts_with	0.435
SLC22A3	SLC2A12	interacts_with	0.402
SMAD3	SMAD7	interacts_with	0.976
SMAD3	TCF7L2	interacts_with	0.43
SMAD3	TGFB1	interacts_with	0.99
SMAD3	TWIST1	interacts_with	0.525
SMAD3	ZEB2	interacts_with	0.868
SMAD7	TCF7L2	interacts_with	0.661
SMAD7	TGFB1	interacts_with	0.989
SMAD7	ZEB2	interacts_with	0.451
SORT1	TMEM106B	interacts_with	0.564
SORT1	TRIB1	interacts_with	0.518
SORT1	WDR12	interacts_with	0.4
TBX20	TBX5	interacts_with	0.499
TBX20	TCF21	interacts_with	0.421
TBX5	TCF21	interacts_with	0.519
TCF7L2	TWIST1	interacts_with	0.534
TCF7L2	WNT3	interacts_with	0.431
TGFB1	TWIST1	interacts_with	0.613
TGFB1	ZEB2	interacts_with	0.602
TGFB1	ZFHX3	interacts_with	0.763
TWIST1	ZEB2	interacts_with	0.83
UMPS	WDR12	interacts_with	0.483
WDR12	ZC3HC1	interacts_with	0.492
WDR12	ZPR1	interacts_with	0.415
WNT3	WNT9B	interacts_with	0.632
ZC3HC1	ZPR1	interacts_with	0.407
