source	target	interaction	weight
ITIH3	ZNF804A	interacts_with	0.43
KCNB1	KCNK3	interacts_with	0.547
KCNB1	RSRC1	interacts_with	0.436
KCNB1	SHISA9	interacts_with	0.402
KCNK3	KCNK9	interacts_with	0.986
KCTD16	NTRK2	interacts_with	0.444
KIF18A	KIF2A	interacts_with	0.884
KIF18A	NBAS	interacts_with	0.503
KIF2A	NBAS	interacts_with	0.504
LIN28B	NPR3	interacts_with	0.638
LINGO1	NCAM1	interacts_with	0.415
LRFN5	MDGA1	interacts_with	0.483
LRFN5	NEGR1	interacts_with	0.505
LRFN5	NRXN1	interacts_with	0.532
LRFN5	PCLO	interacts_with	0.48
LRFN5	RBFOX1	interacts_with	0.42
LRFN5	SOX5	interacts_with	0.418
MAD1L1	TSNARE1	interacts_with	0.67
MAD1L1	VRK2	interacts_with	0.466
MAD1L1	ZFHX3	interacts_with	0.432
MAD1L1	ZNF804A	interacts_with	0.497
MAML3	MEF2C	interacts_with	0.543
MAML3	TBL1XR1	interacts_with	0.503
MDGA1	NLGN1	interacts_with	0.676
MDGA1	NRXN1	interacts_with	0.592
MEF2C	NPAS3	interacts_with	0.406
MEF2C	PAX5	interacts_with	0.624
MEF2C	RBFOX1	interacts_with	0.533
MEF2C	SOX6	interacts_with	0.43
MEF2C	TCF4	interacts_with	0.766
MEF2C	TMEM161B	interacts_with	0.62
METTL9	OTOA	interacts_with	0.677
MSRA	NRXN1	interacts_with	0.425
MSRA	TFAP2B	interacts_with	0.483
MUC5B	TLR4	interacts_with	0.4
NCAM1	NLGN1	interacts_with	0.647
NCAM1	NRXN1	interacts_with	0.416
NCAM1	NTRK2	interacts_with	0.693
NCAM1	PAX5	interacts_with	0.582
NCAM1	PAX6	interacts_with	0.535
NCAM1	TLR4	interacts_with	0.463
NCAM1	TTC12	interacts_with	0.552
NEGR1	NLGN1	interacts_with	0.407
NEGR1	NRXN1	interacts_with	0.421
NEGR1	SORCS3	interacts_with	0.471
NEGR1	TFAP2B	interacts_with	0.529
NEGR1	TMEM161B	interacts_with	0.401
NKAIN2	SORCS3	interacts_with	0.469
NLGN1	NRXN1	interacts_with	0.999
NLGN1	NTRK2	interacts_with	0.534
NLGN1	RBFOX1	interacts_with	0.436
NPAS3	RBFOX1	interacts_with	0.524
NPAS3	SPRY2	interacts_with	0.402
NPAS3	TENM2	interacts_with	0.457
NRDC	SUPT4H1	interacts_with	0.42
NRXN1	NTRK2	interacts_with	0.447
NRXN1	PCDH9	interacts_with	0.435
NRXN1	RBFOX1	interacts_with	0.668
NRXN1	TENM2	interacts_with	0.455
NRXN1	ZNF804A	interacts_with	0.67
NTRK2	RAB27B	interacts_with	0.415
NTRK2	SH2B3	interacts_with	0.905
NTRK2	TMEM161B	interacts_with	0.422
NTRK2	TYR	interacts_with	0.449
OLFM4	SPPL3	interacts_with	0.405
OLFM4	TMEM161B	interacts_with	0.497
OTOA	PCDH15	interacts_with	0.544
OTX2	PAX6	interacts_with	0.479
OTX2	TYR	interacts_with	0.46
OTX2	WNT2B	interacts_with	0.437
PAX5	PAX6	interacts_with	0.438
PAX5	ZCCHC7	interacts_with	0.444
PAX6	PTCH1	interacts_with	0.494
PAX6	SOX5	interacts_with	0.62
PAX6	SOX6	interacts_with	0.425
PAX6	TCF7L2	interacts_with	0.424
PAX6	TYR	interacts_with	0.497
PCDH9	SORCS3	interacts_with	0.432
PCLO	ZFHX4	interacts_with	0.537
PDE4B	ZNF804A	interacts_with	0.417
PMFBP1	TMEM161B	interacts_with	0.424
PTCH1	WNT2B	interacts_with	0.409
PUM3	ZCCHC7	interacts_with	0.692
RBFOX1	TCF7L2	interacts_with	0.426
RGS6	TLR4	interacts_with	0.433
SH2B3	ULK4	interacts_with	0.421
SLC30A9	SLC39A8	interacts_with	0.667
SOX5	SOX6	interacts_with	0.98
STAG1	TERF1	interacts_with	0.902
TANK	TLR4	interacts_with	0.745
TANK	TRAF3	interacts_with	0.999
TBL1XR1	TCF7L2	interacts_with	0.46
TCF4	TCF7L2	interacts_with	0.852
TCF4	ZNF804A	interacts_with	0.439
TCF7L2	WNT2B	interacts_with	0.423
TLR4	TRAF3	interacts_with	0.99
TSNARE1	VRK2	interacts_with	0.486
VRK2	ZNF804A	interacts_with	0.669
