score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90472771,GCST90480460,GCST90480458,GCST90480461,GCST90476186,GCST90476187,GCST90476190,GCST90274859,GCST90014456,GCST90014457,FINNGEN_R12_L12_PSORIASIS,GCST90019017,FINNGEN_R12_PSORI_STRICT,GCST90019016,FINNGEN_R12_L12_PSORI_VULG,GCST000321,GCST000833,GCST90435380,GCST90478800,GCST90476188,GCST90476185,GCST002874,GCST003268,GCST011990,FINNGEN_R12_L12_PSORI_NAS,GCST90436607,GCST90436606,GCST90019015,GCST90436608,GCST002740_3,GCST000836,GCST005527,GCST90565134,GCST90018907,GCST90558097,GCST90473937,GCST90558096,GCST011991,GCST003097_2,GCST000322,GCST005537,GCST90624214,GCST90244705,GCST002738,GCST003269,GCST008479,GCST006036,GCST004346,GCST000834,GCST002889,GCST001473,GCST002740_2,GCST90435379,GCST011109,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.324643500806999,ENSG00000197818,SLC9A8,protein_coding,0.532190115246697,NA,NA,GCST005537,0.841989815235138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8419898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SLC9A8,23315,GWAS,1,24,0
0.323442107765248,ENSG00000176920,FUT2,protein_coding,0.520238201230543,NA,NA,GCST90472771/GCST90019016/GCST005537/GCST004346,0.603624820709229/0.59688812494278/0.592895865440369/0.592450678348541,0.6036248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5968881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5928959,NA,NA,NA,NA,NA,NA,0.5924507,NA,NA,NA,NA,NA,NA,4,FUT2,2524,GWAS,1,87,2
0.322808373592974,ENSG00000036828,CASR,protein_coding,0.528576204753865,NA,NA,GCST90014456/GCST008479,0.704597592353821/0.659480512142181,NA,NA,NA,NA,NA,NA,NA,NA,0.7045976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6594805,NA,NA,NA,NA,NA,NA,NA,NA,2,CASR,846,GWAS,1,237,3
0.322684393502517,ENSG00000198604,BAZ1A,protein_coding,0.530183394087141,NA,NA,GCST90480461,0.750808298587799,NA,NA,NA,0.7508083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BAZ1A,11177,GWAS,1,79,0
0.321827526417014,ENSG00000026103,FAS,protein_coding,0.518984133631513,NA,NA,GCST005537,0.85368949174881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8536895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FAS,355,GWAS,1,270,14
0.320787258772557,ENSG00000197980,LEKR1,protein_coding,0.526758786112876,NA,NA,GCST90565134,0.866478204727173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8664782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,LEKR1,389170,GWAS,1,19,0
0.320237559069832,ENSG00000124203,ZNF831,protein_coding,0.526766468038715,NA,NA,GCST005537,0.866490840911865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8664908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ZNF831,128611,GWAS,1,26,1
0.316707838235595,ENSG00000177076,ACER2,protein_coding,0.520960345289046,NA,NA,GCST90014457,0.85694020986557,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8569402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ACER2,340485,GWAS,1,48,0
0.31658300172896,ENSG00000006530,AGK,protein_coding,0.520754998714855,NA,NA,GCST011109,0.856602430343628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8566024,1,AGK,55750,GWAS,1,125,2
0.316207589033342,ENSG00000178409,BEND3,protein_coding,0.520137473336812,NA,NA,GCST90565134,0.855586647987366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8555866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BEND3,57673,GWAS,1,17,0
0.315785031647298,ENSG00000135898,GPR55,protein_coding,0.517893019337283,NA,NA,GCST90014457/GCST90014456,0.681515753269196/0.681515753269196,NA,NA,NA,NA,NA,NA,NA,NA,0.6815158,0.6815158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,GPR55,9290,GWAS,1,63,1
0.31571707650586,ENSG00000171951,SCG2,protein_coding,0.519330617475243,NA,NA,GCST90014457,0.854259431362152,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8542594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SCG2,7857,GWAS,1,53,0
