score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90239776,GCST004045,GCST90455657,GCST90475983,GCST90274223,GCST90162626,GCST90399714,GCST90480182,GCST009541,GCST90475981,GCST90473575,GCST90085925,GCST90475200,GCST90479544,GCST90399713,GCST90479545,GCST90475201,GCST90475982,GCST90480181,GCST90480184,GCST90668077,FINNGEN_R12_I9_HEARTFAIL_AND_OVERWEIGHT,FINNGEN_R12_I9_HEARTFAIL,GCST90399716,GCST90018806,GCST90668076,GCST004044,GCST90473547,GCST90043962,GCST90480183,GCST90477878,GCST90475984,GCST90480140,GCST90477961,GCST90477955,GCST90018586,GCST90436127,GCST90399715,GCST90399712,GCST90480139,GCST90477957,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.438361292823816,ENSG00000115808,STRN,protein_coding,0.706585653917265,NA,NA,GCST90162626/GCST90239776/FINNGEN_R12_I9_HEARTFAIL,0.813567698001862/0.801615476608276/0.754938304424286,0.8016155,NA,NA,NA,NA,0.8135677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7549383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,STRN,6801,GWAS,1,174,1
0.438136712775669,ENSG00000130164,LDLR,protein_coding,0.676298703556955,NA,NA,GCST90455657/GCST90668076/GCST90668077,0.820005536079407/0.809873938560486/0.809873938560486,NA,NA,0.8200055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8098739,NA,NA,NA,NA,0.8098739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,LDLR,3949,GWAS,1,147,6
0.437523927930938,ENSG00000198734,F5,protein_coding,0.715130949391711,NA,NA,GCST90043962/GCST90473547,0.941068887710571/0.941068887710571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9410689,0.9410689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,F5,2153,GWAS,1,130,4
0.437469327015948,ENSG00000196275,GTF2IRD2,protein_coding,0.719603824538311,NA,NA,GCST90480181/GCST90480184/GCST90475982/GCST90455657/GCST90475981,0.808041870594025/0.808041870594025/0.789515614509583/0.77955174446106/0.774031639099121,NA,NA,0.7795517,NA,NA,NA,NA,NA,NA,0.7740316,NA,NA,NA,NA,NA,NA,NA,0.7895156,0.8080419,0.8080419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,GTF2IRD2,84163,GWAS,1,23,1
0.435696235705229,ENSG00000130940,CASZ1,protein_coding,0.713311102340411,NA,NA,GCST90455657/GCST90480184/GCST90399716/GCST90668077/GCST90475982/GCST90475981/GCST90480181,0.782456040382385/0.764830112457275/0.764830112457275/0.764830112457275/0.761154532432556/0.761154532432556/0.75002646446228,NA,NA,0.782456,NA,NA,NA,NA,NA,NA,0.7611545,NA,NA,NA,NA,NA,NA,NA,0.7611545,0.7500265,0.7648301,0.7648301,NA,NA,0.7648301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,CASZ1,54897,GWAS,1,19,1
0.433433392468408,ENSG00000175164,ABO,protein_coding,0.709130289245098,NA,NA,GCST90239776/GCST90274223/GCST90455657/GCST90162626/GCST90399714,0.766976773738861/0.766976773738861/0.766976773738861/0.766976773738861/0.766976773738861,0.7669768,NA,0.7669768,NA,0.7669768,0.7669768,0.7669768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ABO,28,GWAS,1,9,0
0.431895764437482,ENSG00000176697,BDNF,protein_coding,0.690116214363394,NA,NA,GCST90480184/GCST90455657/GCST90475981,0.846687912940979/0.827402055263519/0.734853088855743,NA,NA,0.8274021,NA,NA,NA,NA,NA,NA,0.7348531,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8466879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,BDNF,627,GWAS,1,500,7
0.430266835808667,ENSG00000107798,LIPA,protein_coding,0.707756273409831,NA,NA,GCST90668076/GCST90668077,0.932422578334808/0.927130997180939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927131,NA,NA,NA,NA,0.9324226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,LIPA,3988,GWAS,1,61,8
0.429799975868358,ENSG00000147883,CDKN2B,protein_coding,0.703615152679731,NA,NA,GCST90480184/GCST90480181/GCST90480182/GCST90475982/GCST90162626/GCST90479545/GCST90399714/GCST90479544/GCST90473575/GCST90455657/GCST90274223/GCST90475981/GCST90475983/GCST90399713/GCST90475200/GCST90475201/GCST009541,0.730977535247803/0.730977535247803/0.730977535247803/0.730977535247803/0.722626566886902/0.715283274650574/0.714345276355743/0.714345276355743/0.714345276355743/0.712858021259308/0.712858021259308/0.701603949069977/0.701603949069977/0.67677766084671/0.67677766084671/0.67677766084671/0.660158514976501,NA,NA,0.712858,0.7016039,0.712858,0.7226266,0.7143453,0.7309775,0.6601585,0.7016039,0.7143453,NA,0.6767777,0.7143453,0.6767777,0.7152833,0.6767777,0.7309775,0.7309775,0.7309775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,CDKN2B,1030,GWAS,1,169,7
0.428366554375357,ENSG00000112137,PHACTR1,protein_coding,0.70311062775227,NA,NA,GCST90668076/GCST90668077/GCST90475981/GCST90455657,0.816132783889771/0.816132783889771/0.785650253295898/0.785650253295898,NA,NA,0.7856503,NA,NA,NA,NA,NA,NA,0.7856503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8161328,NA,NA,NA,NA,0.8161328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,PHACTR1,221692,GWAS,1,41,6
0.425717605189659,ENSG00000198873,GRK5,protein_coding,0.689334897482996,NA,NA,GCST90473547/GCST90043962,0.910315573215485/0.894351959228516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9103156,0.894352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,GRK5,2869,GWAS,1,217,3
0.423952951551029,ENSG00000137221,TJAP1,protein_coding,0.697370413238832,NA,NA,GCST90475981/GCST90475982/GCST90480184/GCST90480181/GCST90455657,0.795528650283813/0.795528650283813/0.747825920581818/0.747825920581818/0.571991860866547,NA,NA,0.5719919,NA,NA,NA,NA,NA,NA,0.7955287,NA,NA,NA,NA,NA,NA,NA,0.7955287,0.7478259,0.7478259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TJAP1,93643,GWAS,1,42,0
0.421808353077279,ENSG00000133812,SBF2,protein_coding,0.693842711595527,NA,NA,GCST90475982/GCST90479545/GCST90480184/GCST90475200/GCST90455657/GCST90475981/GCST90479544,0.749109029769897/0.74356210231781/0.743258059024811/0.710376143455505/0.703330814838409/0.693609952926636/0.683209002017975,NA,NA,0.7033308,NA,NA,NA,NA,NA,NA,0.69361,NA,NA,0.7103761,0.683209,NA,0.7435621,NA,0.749109,NA,0.7432581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,SBF2,81846,GWAS,1,52,0
0.419045734872999,ENSG00000087237,CETP,protein_coding,0.681918840560985,NA,NA,GCST004045,0.910185575485229,NA,0.9101856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CETP,1071,GWAS,1,113,14
0.419010391285859,ENSG00000148737,TCF7L2,protein_coding,0.679839471469825,NA,NA,GCST004045/GCST004044,0.857156753540039/0.84078049659729,NA,0.8571568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8407805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TCF7L2,6934,GWAS,1,247,7
0.418726615060608,ENSG00000146147,MLIP,protein_coding,0.680781279779974,NA,NA,GCST90475983/GCST90455657/GCST90239776,0.809782385826111/0.793961465358734/0.758469223976135,0.7584692,NA,0.7939615,0.8097824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,MLIP,90523,GWAS,1,4,0
0.417812700358447,ENSG00000146243,IRAK1BP1,protein_coding,0.687270166275353,NA,NA,GCST90475981/GCST90162626/GCST90455657/GCST90668076,0.851158261299133/0.699653446674347/0.630414426326752/0.550233066082001,NA,NA,0.6304144,NA,NA,0.6996534,NA,NA,NA,0.8511583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5502331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,IRAK1BP1,134728,GWAS,1,6,0
0.414961105932135,ENSG00000156265,MAP3K7CL,protein_coding,0.681059682980451,NA,NA,GCST90475983/GCST90480182/GCST90455657/GCST90668077,0.686174809932709/0.674473762512207/0.674473762512207/0.674202680587769,NA,NA,0.6744738,0.6861748,NA,NA,NA,0.6744738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6742027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,MAP3K7CL,56911,GWAS,1,8,0
0.413267245995626,ENSG00000154305,MIA3,protein_coding,0.679793238998962,NA,NA,GCST90668077/GCST90455657/GCST90668076,0.821987271308899/0.820304274559021/0.820304274559021,NA,NA,0.8203043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8219873,NA,NA,NA,NA,0.8203043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MIA3,375056,GWAS,1,76,10
0.412018038332422,ENSG00000182240,BACE2,protein_coding,0.677738387249204,NA,NA,GCST90455657/GCST90475981,0.899349451065063/0.861914932727814,NA,NA,0.8993495,NA,NA,NA,NA,NA,NA,0.8619149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,BACE2,25825,GWAS,1,59,1
0.4100669773621,ENSG00000183072,NKX2-5,protein_coding,0.664377121639859,NA,NA,GCST90668076/GCST90455657,0.844917833805084/0.810434222221375,NA,NA,0.8104342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8449178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NKX2-5,1482,GWAS,1,206,8
0.409378771785956,ENSG00000128596,CCDC136,protein_coding,0.673396994187963,NA,NA,GCST90477955/GCST90480181/GCST90480184,0.811258375644684/0.722416162490845/0.569352686405182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7224162,0.5693527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8112584,NA,NA,NA,NA,NA,NA,3,CCDC136,64753,GWAS,1,40,1
0.409256072538802,ENSG00000108433,GOSR2,protein_coding,0.673195163243328,NA,NA,GCST90455657/GCST90668077/GCST90668076,0.825456082820892/0.786918878555298/0.766522109508514,NA,NA,0.8254561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7869189,NA,NA,NA,NA,0.7665221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,GOSR2,9570,GWAS,1,176,1
0.406822832278631,ENSG00000141458,NPC1,protein_coding,0.668584736981215,NA,NA,GCST90455657/GCST90399714/GCST90399713,0.784352540969849/0.752863526344299/0.570863127708435,NA,NA,0.7843525,NA,NA,NA,0.7528635,NA,NA,NA,NA,NA,NA,NA,0.5708631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NPC1,4864,GWAS,1,105,7
0.406531532241812,ENSG00000182218,HHIPL1,protein_coding,0.668713501337576,NA,NA,GCST90668077/GCST90668076,0.888294398784637/0.846754133701324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8882944,NA,NA,NA,NA,0.8467541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,HHIPL1,84439,GWAS,1,12,5
0.405623333989555,ENSG00000171557,FGG,protein_coding,0.667219584174923,NA,NA,GCST90473547/GCST90043962,0.885270595550537/0.849019825458527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8852706,0.8490198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FGG,2266,GWAS,1,189,6
0.404297563141018,ENSG00000128591,FLNC,protein_coding,0.66253391099521,NA,NA,GCST90475981/GCST90475983/GCST90477961,0.800056397914886/0.746190011501312/0.60894113779068,NA,NA,NA,0.74619,NA,NA,NA,NA,NA,0.8000564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6089411,NA,NA,NA,NA,NA,NA,NA,3,FLNC,2318,GWAS,1,258,9
