	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Depressive Disorder	0.137787536866221	3.30124708863621	0.496426409915049	0.276761420937044	3.30124708863621	2.69918709730825	0.0508270863273174	0.196759977323816	1.62914923070049	0.0294054820997124	NA	1.05573442082206	0.454291763616387	1.11372636779975	0.176742863801929	0.674906721261169	0.0767140260301257	0.937635108744067	0.013669279557506	3.00021709297223	1.93951925261862	0.0357217534171376	0.932031231226069	0.0213521086245733	3.00021709297223	3.30124708863621	0.0399842198437179	0.0215801445877559
Diabetes Mellitus	1.64803457486087	0.993751050722998	3.30124708863621	2.22206584258859	1.39815710164427	1.15511905295797	0.220981461296367	0.20712549279565	2.45614904862195	1.58524374500141	1.05573442082206	NA	0.320335150859368	3.30124708863621	2.25985440347799	3.30124708863621	1.46873817592998	3.30124708863621	1.29264691687429	3.30124708863621	2.39815710164427	1.86988332447722	0.0170420209344173	2.12515582958053	2.25985440347799	0.873112294607423	0.714659783964456	0.64514888662338
Epilepsy	0.730704148754314	3.00021709297223	0.487666100068019	0.128060820223937	0.734220722477151	2.34700457919689	0.247784483710756	0.0322013789785884	3.30124708863621	0.237538529244794	0.454291763616387	0.320335150859368	NA	0.480389099196511	0.428508261163543	0.0549947763368894	0.237163652672615	0.336045387610299	0.735399269962694	0.6263859478984	3.00021709297223	0.634729108081331	1.48833373199336	0.0215801445877559	0.991616921210313	1.24434223729974	0.31090823384861	0.599679103580284
Heart failure	3.30124708863621	0.479733560231438	3.30124708863621	1.06825097824406	1.13098537324125	0.537070956245881	2.52309583825257	0.0373744117709878	3.30124708863621	1.22936508133009	1.11372636779975	3.30124708863621	0.480389099196511	NA	3.30124708863621	2.39815710164427	0.383216751851331	3.30124708863621	0.549198640816773	1.10534743622698	3.00021709297223	1.06571864172866	0.185636576961912	0.903307079964174	0.874735827271636	1.15202797598083	0.386903931516771	3.30124708863621
Hypercholesterolemia	3.30124708863621	0.401426586209115	3.30124708863621	0.371317528551624	0.145000898238867	0.251641476041238	2.25985440347799	0.0949610442237789	0.188977320218941	0.556172297054154	0.176742863801929	2.25985440347799	0.428508261163543	3.30124708863621	NA	0.301681600410229	0.17968724444871	3.30124708863621	0.549967984652869	0.193359063453413	2.60227708430019	0.491014570641127	0.349424053320299	0.131866593324262	0.0657186417286625	0.401426586209115	0.486999492904291	2.22206584258859
Hypertension	0.431428880656883	0.351369384599337	3.00021709297223	0.434369274298713	1.02249348768338	0.647070546758251	0.132160731149189	0.23231947695414	2.39815710164427	0.491687374000944	0.674906721261169	3.30124708863621	0.0549947763368894	2.39815710164427	0.301681600410229	NA	0.0761963924981626	1.6110510086077	0.028709311260974	3.00021709297223	0.349909569840294	0.177069033161536	0.0785306174886281	0.669803319623039	0.94713864948881	0.587756545542269	0.139280472272136	0.122845747102456
Lupus erythematosus	0.828490639318999	0.0050208013750508	0.205380635157669	3.30124708863621	0.0562282178984583	0.00722199454088871	0.387433236252495	0.0190783103315698	0.100670161881363	3.30124708863621	0.0767140260301257	1.46873817592998	0.237163652672615	0.383216751851331	0.17968724444871	0.0761963924981626	NA	0.0188515838936858	3.30124708863621	0.0599497015262183	0.65288707765528	3.30124708863621	0.0723336826415233	3.30124708863621	0.0540105391294473	0.0125508280459556	3.30124708863621	3.30124708863621
Metabolic syndrome	3.30124708863621	1.38216899626014	3.30124708863621	0.193697958891525	0.811288609211377	1.36674863739264	0.591977127660381	0.103690875482675	0.385847253423942	0.280885805988504	0.937635108744067	3.30124708863621	0.336045387610299	3.30124708863621	3.30124708863621	1.6110510086077	0.0188515838936858	NA	0.104242360613166	1.43792422851576	3.30124708863621	0.495746230477811	1.43792422851576	0.147737099335374	1.3518570819913	1.71018248160971	0.146823115521564	1.37182816292192
Multiple Sclerosis	0.631930208070099	0.0152399665567368	1.33745926129066	3.30124708863621	0.0522934731405038	0.336987458439363	0.354303817938386	0.00392437443090874	0.366243937182557	3.30124708863621	0.013669279557506	1.29264691687429	0.735399269962694	0.549198640816773	0.549967984652869	0.028709311260974	3.30124708863621	0.104242360613166	NA	0.040698715999232	0.111476132289338	3.30124708863621	0.25945976966446	3.30124708863621	0.0493656340836838	0.0621979954960199	3.30124708863621	3.30124708863621
Obesity	0.167388963432877	3.00021709297223	0.473877815582386	0.106455330914287	3.30124708863621	1.3518570819913	0.235294108322342	0.294353380688311	1.07853061748863	0.429674153090333	3.00021709297223	3.30124708863621	0.6263859478984	1.10534743622698	0.193359063453413	3.00021709297223	0.0599497015262183	1.43792422851576	0.040698715999232	NA	1.7214634920194	0.190994171282808	0.0936127212472499	0.367759800787506	2.60227708430019	2.52309583825257	0.0811390005961563	0.0626992009548836
Parkinson	3.30124708863621	3.30124708863621	1.85408905729399	0.50190653918263	2.25985440347799	1.36674863739264	0.782733148758324	0.157919958644165	0.371317528551624	1.66777863305662	1.93951925261862	2.39815710164427	3.00021709297223	3.00021709297223	2.60227708430019	0.349909569840294	0.65288707765528	3.30124708863621	0.111476132289338	1.7214634920194	NA	2.39815710164427	3.30124708863621	0.489672082765618	2.39815710164427	1.11940350069144	1.54537223296372	1.39815710164427
Psoriasis	1.25592410984955	0.0132215532478486	0.528925381913292	3.30124708863621	0.00480129442981513	0.0741320060470862	0.72605924370855	0.0177197237745178	0.0466990115272376	3.30124708863621	0.0357217534171376	1.86988332447722	0.634729108081331	1.06571864172866	0.491014570641127	0.177069033161536	3.30124708863621	0.495746230477811	3.30124708863621	0.190994171282808	2.39815710164427	NA	0.440310467936118	3.30124708863621	0.0390333831597945	0.0174937053036849	3.30124708863621	3.30124708863621
Post-traumatic stress disorder	0.479079009268194	3.30124708863621	0.460513854024405	0.090126547378162	1.11372636779975	1.0023940122265	0.159797315235744	0.00108655168485909	0.089592688083029	0.0284775020844519	0.932031231226069	0.0170420209344173	1.48833373199336	0.185636576961912	0.349424053320299	0.0785306174886281	0.0723336826415233	1.43792422851576	0.25945976966446	0.0936127212472499	3.30124708863621	0.440310467936118	NA	0.0547485078404105	0.315371731327818	0.742538518103046	0.590283969640936	0.0957720518953205
Rheumatoid arthritis	0.594529306299453	0.00152193466057447	1.01568977962844	3.30124708863621	0.0418921613281771	0.0215801445877559	0.20712549279565	0.157607853361668	0.264219208880436	3.30124708863621	0.0213521086245733	2.12515582958053	0.0215801445877559	0.903307079964174	0.131866593324262	0.669803319623039	3.30124708863621	0.147737099335374	3.30124708863621	0.367759800787506	0.489672082765618	3.30124708863621	0.0547485078404105	NA	0.0503393889353554	0.0319676988643128	3.30124708863621	1.97902779390229
Schizophrenia	0.406931025951773	3.30124708863621	0.238665104408048	0.163892977265479	2.82412583391655	3.00021709297223	0.128352390884035	0.466826384954679	1.31447535436997	0.0493656340836838	3.00021709297223	2.25985440347799	0.991616921210313	0.874735827271636	0.0657186417286625	0.94713864948881	0.0540105391294473	1.3518570819913	0.0493656340836838	2.60227708430019	2.39815710164427	0.0390333831597945	0.315371731327818	0.0503393889353554	NA	2.52309583825257	0.00700137249809321	0.0159148609923269
Sleep Disorder	0.0869331912118117	3.30124708863621	0.586917328890978	0.0338406698833073	3.00021709297223	1.24816864515279	0.0968557567169117	0.130692030115003	1.2405492482826	0.0466990115272376	3.30124708863621	0.873112294607423	1.24434223729974	1.15202797598083	0.401426586209115	0.587756545542269	0.0125508280459556	1.71018248160971	0.0621979954960199	2.52309583825257	1.11940350069144	0.0174937053036849	0.742538518103046	0.0319676988643128	2.52309583825257	NA	0.00173978993572378	0.0052404193225391
Ulcerative colitis	0.801560006017808	0.103966530510592	0.631930208070099	3.30124708863621	0.00152193466057447	0.0376110200481033	0.730704148754314	0.000651604746247893	0.137787536866221	3.30124708863621	0.0399842198437179	0.714659783964456	0.31090823384861	0.386903931516771	0.486999492904291	0.139280472272136	3.30124708863621	0.146823115521564	3.30124708863621	0.0811390005961563	1.54537223296372	3.30124708863621	0.590283969640936	3.30124708863621	0.00700137249809321	0.00173978993572378	NA	2.60227708430019
Vasculitis	1.80988539480194	0.0383216193043798	1.59367691253828	1.82412583391655	0.00173978993572378	0.103966530510592	3.30124708863621	0.000434294518094459	0.340776311101912	1.74494458786892	0.0215801445877559	0.64514888662338	0.599679103580284	3.30124708863621	2.22206584258859	0.122845747102456	3.30124708863621	1.37182816292192	3.30124708863621	0.0626992009548836	1.39815710164427	3.30124708863621	0.0957720518953205	1.97902779390229	0.0159148609923269	0.0052404193225391	2.60227708430019	NA
