	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Depressive Disorder	0.0246673574517654	0.0676600644536224	0.00109381649705265	0.00068956601403342	0.0678479124217724	0.0659645542616569	0.00142970857016451	0.0204223338010252	0.00716104368442728	7.25422561979967e-05	0.5	0.00431457071560738	0.0169402905275435	0.000667810342263237	0.00112009861429942	0.00619395659422092	9.8973565605637e-05	0.00111965655174327	0.000117308772938426	0.0275674404791	0.0166279099440826	7.3719301308057e-05	0.0537102991454289	7.22283231639247e-05	0.0535212439168195	0.0705403279925483	7.80120698748055e-05	0.000433042710790243
Diabetes Mellitus	0.020038965926656	0.00353140102523375	0.0319654850207411	0.00241680678473256	0.00640237378731791	0.00397773600312821	0.015767755583024	0.0444643568750579	0.0185857971165917	4.57642675783969e-05	0.00431457071560738	0.5	0.00790312052442499	0.030498294449456	0.0469434505268482	0.076969689884629	5.40323309775632e-05	0.0633330367657915	6.95417602416359e-05	0.0732875432760701	0.0202629716950832	4.84467335754222e-05	0.00409588102050004	4.62364720613652e-05	0.00523993356464677	0.0118884815895664	4.8510541428807e-05	0.00799912363175076
Epilepsy	0.00854264062602216	0.0272678112715105	0.00353086435248285	0.0156294068992918	0.0168174972342103	0.034394349315952	0.00617789586054878	0.0256685159194032	0.0333668435992214	0.0145040666575989	0.0169402905275435	0.00790312052442499	0.5	0.00360068039462424	0.00263844620806279	0.0102754334677041	0.030378367506784	0.00271092935715008	0.0251173702621663	0.0193776720543294	0.0338235006873673	0.0137486548613946	0.0422524181730517	0.0147474142702027	0.0257313042452913	0.0164629257473592	0.0172724416078764	0.011365571783762
Heart failure	0.0325008899613708	0.00057694123941056	0.0840606031369223	0.00488073597835959	0.000879719220513294	0.000703474029335731	0.058980327675536	0.00665992183314517	0.0498454658106668	0.000237654939443427	0.000667810342263237	0.030498294449456	0.00360068039462424	0.5	0.0760529172374511	0.0372771964485602	0.000285419079281249	0.0739221995104052	0.000346081834374734	0.00595024532268298	0.0132119075425685	0.000247507167095175	0.00097101038749277	0.000242672900730555	0.00080926959233526	0.00135880953806072	0.000251614892604991	0.0337069965880779
Hypercholesterolemia	0.047018551896791	0.000845416299495762	0.0838134718376191	0.00257941040381904	0.00126376138609346	0.00101123939625656	0.0390147323230307	0.008078126538366	0.0232833144190938	4.1439661044212e-05	0.00112009861429942	0.0469434505268482	0.00263844620806279	0.0760529172374511	0.5	0.0252860855390338	4.98332315622671e-05	0.104093122755757	6.43560216484196e-05	0.00888499831181741	0.0116241759378943	4.38923510593342e-05	0.00120624132529625	4.19739075299261e-05	0.00127340631158419	0.0018130555051598	4.40912109818569e-05	0.0155066681897568
Hypertension	0.0172148728916417	0.00470100023260324	0.0470002815070446	0.00758813841885161	0.00702035606666154	0.00479148386573168	0.0168555752313512	0.0434267282427903	0.0563716135620931	0.000267355212968331	0.00619395659422092	0.076969689884629	0.0102754334677041	0.0372771964485602	0.0252860855390338	0.5	0.000289780396393374	0.0258672756961732	0.00035586114693562	0.0559050423340206	0.012617293292079	0.000279426976221867	0.00524184898089353	0.000268513414349272	0.00559862814215721	0.019321789738131	0.000277046753314922	0.00881033200742894
Lupus erythematosus	4.67218090028363e-05	0.000165002596008802	0.000147970625723372	0.0426529265931288	7.41565054829321e-05	0.000637401326698886	0.00618887863324226	5.54370138273404e-05	0.00469326973256852	0.0756264634075067	9.8973565605637e-05	5.40323309775632e-05	0.030378367506784	0.000285419079281249	4.98332315622671e-05	0.000289780396393374	0.5	4.83761239517798e-05	0.0881584211567685	3.68319494250843e-05	0.00874922491088987	0.0663600205196729	0.000902579437172514	0.0793426385939082	0.000108541114813702	6.37416916534307e-05	0.0625814923982979	0.0370520839324068
Metabolic syndrome	0.049005844484109	0.000853720473737888	0.0776512617060071	0.00248404367291461	0.00129674326219603	0.00101742904161843	0.0296755963200413	0.00895956899013392	0.0223491501995383	4.01926064094689e-05	0.00111965655174327	0.0633330367657915	0.00271092935715008	0.0739221995104052	0.104093122755757	0.0258672756961732	4.83761239517798e-05	0.5	6.25419128879507e-05	0.0105693640495803	0.0119869268846697	4.25807747846353e-05	0.00122407943449356	4.07144420348406e-05	0.00129092376707707	0.00196083209904139	4.27755589869496e-05	0.0143180545323766
Multiple Sclerosis	6.0413826183865e-05	0.000194372143867292	0.000181617248311288	0.0458100514889925	8.89151122206039e-05	0.000654228893748901	0.00664844527625564	7.1243219152759e-05	0.00532318293676418	0.0651935624000453	0.000117308772938426	6.95417602416359e-05	0.0251173702621663	0.000346081834374734	6.43560216484196e-05	0.00035586114693562	0.0881584211567685	6.25419128879507e-05	0.5	4.75246096120978e-05	0.00939679659782952	0.0726168440859599	0.000965876947890555	0.0677072558993592	0.000128938578753727	7.84049673988858e-05	0.0629690156463814	0.0329228364927245
Obesity	0.0138494096637669	0.0226670199406819	0.00640654715161391	0.00125986464845112	0.044399252331247	0.0216502128860379	0.00470138993598544	0.0557579035296553	0.0118912187734449	2.97524029749714e-05	0.0275674404791	0.0732875432760701	0.0193776720543294	0.00595024532268298	0.00888499831181741	0.0559050423340206	3.68319494250843e-05	0.0105693640495803	4.75246096120978e-05	0.5	0.0157607579546632	3.13509551587499e-05	0.0185079602011605	2.99572659540165e-05	0.0270625934220866	0.0568686421143267	3.16691666159707e-05	0.00202805196502094
Parkinson	0.038385766110511	0.0264484318384434	0.0106359243161004	0.0105306043947245	0.0148616829237682	0.0171353869315336	0.011802644217797	0.0301102292917254	0.0118973993457286	0.0135129923983138	0.0166279099440826	0.0202629716950832	0.0338235006873673	0.0132119075425685	0.0116241759378943	0.012617293292079	0.00874922491088987	0.0119869268846697	0.00939679659782952	0.0157607579546632	0.5	0.00991866205969381	0.0438812161587134	0.00938340402241053	0.0243039859913387	0.0251135219870937	0.0139266241582378	0.00969516569249224
Psoriasis	4.03613190383022e-05	0.000128353751467794	0.000135642163064372	0.0619161461873381	5.4522832351947e-05	0.000379838110313491	0.00422679724264153	4.86702753407582e-05	0.00486053748564524	0.0846176635372105	7.3719301308057e-05	4.84467335754222e-05	0.0137486548613946	0.000247507167095175	4.38923510593342e-05	0.000279426976221867	0.0663600205196729	4.25807747846353e-05	0.0726168440859599	3.13509551587499e-05	0.00991866205969381	0.5	0.000667177034727326	0.0830400776800895	8.11246208557566e-05	5.1597867004735e-05	0.0869910120742923	0.0194949288579092
Post-traumatic stress disorder	0.0129111569566597	0.100481872730893	0.00119385979537194	0.00136658515194394	0.0370901463373337	0.0469268200691297	0.00168720239392807	0.0170751236174395	0.00654269729308111	0.000716109693235545	0.0537102991454289	0.00409588102050004	0.0422524181730517	0.00097101038749277	0.00120624132529625	0.00524184898089353	0.000902579437172514	0.00122407943449356	0.000965876947890555	0.0185079602011605	0.0438812161587134	0.000667177034727326	0.5	0.000659163210191151	0.0479798352312403	0.0487786214111078	0.000769837914902113	0.00105265559441196
Rheumatoid arthritis	3.85547568865578e-05	0.000125447629926486	0.000130818994893711	0.060661607497442	5.34551084091966e-05	0.000387056079648225	0.0045325338819236	4.64371710539798e-05	0.00473086470827204	0.0798565205718324	7.22283231639247e-05	4.62364720613652e-05	0.0147474142702027	0.000242672900730555	4.19739075299261e-05	0.000268513414349272	0.0793426385939082	4.07144420348406e-05	0.0677072558993592	2.99572659540165e-05	0.00938340402241053	0.0830400776800895	0.000659163210191151	0.5	7.94712945259705e-05	4.98318940079118e-05	0.0837349677636852	0.0239429905476189
Schizophrenia	0.021553770341246	0.054124050938321	0.00121717639544742	0.000774758675673135	0.0639418871150707	0.0817232326534744	0.00208690855939139	0.0437418530845185	0.00766354200070042	7.96239200421246e-05	0.0535212439168195	0.00523993356464677	0.0257313042452913	0.00080926959233526	0.00127340631158419	0.00559862814215721	0.000108541114813702	0.00129092376707707	0.000128938578753727	0.0270625934220866	0.0243039859913387	8.11246208557566e-05	0.0479798352312403	7.94712945259705e-05	0.5	0.0319573568690326	8.54921395185842e-05	0.000623766897089206
Sleep Disorder	0.0156760721086651	0.0546200523877451	0.00169274570489582	0.000807529385959615	0.0489080007530057	0.0335580141651662	0.00201150025382075	0.0406927510391219	0.00794573904308859	5.05906075337211e-05	0.0705403279925483	0.0118884815895664	0.0164629257473592	0.00135880953806072	0.0018130555051598	0.019321789738131	6.37416916534307e-05	0.00196083209904139	7.84049673988858e-05	0.0568686421143267	0.0251135219870937	5.1597867004735e-05	0.0487786214111078	4.98318940079118e-05	0.0319573568690326	0.5	5.41109926498348e-05	0.000651475206461011
Ulcerative colitis	4.05455374831899e-05	0.000136833843986665	0.000135996528401414	0.0531737320490613	5.68464214704352e-05	0.000423605894695081	0.00482929008590279	4.88442292518708e-05	0.00474820397859294	0.0885141314577898	7.80120698748055e-05	4.8510541428807e-05	0.0172724416078764	0.000251614892604991	4.40912109818569e-05	0.000277046753314922	0.0625814923982979	4.27755589869496e-05	0.0629690156463814	3.16691666159707e-05	0.0139266241582378	0.0869910120742923	0.000769837914902113	0.0837349677636852	8.54921395185842e-05	5.41109926498348e-05	0.5	0.0275114298449197
Vasculitis	0.0102621586536274	0.000450473196982092	0.0162613941604058	0.0180597102093999	0.00046050225745462	0.000745578166923056	0.156397557152572	0.00437905477910918	0.013833063204991	0.0200691257680908	0.000433042710790243	0.00799912363175076	0.011365571783762	0.0337069965880779	0.0155066681897568	0.00881033200742894	0.0370520839324068	0.0143180545323766	0.0329228364927245	0.00202805196502094	0.00969516569249224	0.0194949288579092	0.00105265559441196	0.0239429905476189	0.000623766897089206	0.000651475206461011	0.0275114298449197	0.5
